Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Gutter Prayer,['Gareth Hanrahan'],ePUB,12.99,12.99,0356511510,2019-01-15,"Little, Brown Book Group",544
Real Happiness,['Sharon Salzberg'],ePUB,16.5,14.95,0761165592,2010-12-29,Workman Publishing Company,250
Astrology for the Soul,['Jan Spiller'],ePUB,25.7,20.99,0307426750,2009-11-04,Random House Publishing Group,
The Closed Circle,['Jonathan Coe'],ePUB,15.99,15.99,014190416X,2008-05-19,Penguin Books Ltd,448
The Hunger Games,['Suzanne Collins'],ePUB,14.02,11.99,1407135287,2012-03-01,Scholastic,
Where Good Ideas Come From,['Steven Johnson'],ePUB,15.99,15.99,0141964596,2010-10-07,Penguin Books Ltd,336
Claiming the Dragon King,['Amelia Hutchins'],ePUB,6.99,6.99,0997720107,2018-07-10,Amelia Hutchins,
The Boy with the Topknot,['Sathnam Sanghera'],ePUB,15.99,15.99,0670923095,2012-11-29,Penguin Books Ltd,336
The Art of War,"['Sun Tzu', 'Tom Butler-Bowdon']",ePUB,16.99,16.99,0857081020,2016-05-16,Wiley,220
Lean In,['Sheryl Sandberg'],ePUB,18.99,18.99,0753549069,2013-03-12,Ebury Publishing,240
The Lost Hero (Heroes of Olympus Book 1),['Rick Riordan'],ePUB,9.99,9.99,014196555X,2010-10-12,Penguin Random House Children's UK,576
The Other Side of the Story,['Marian Keyes'],ePUB,15.99,15.99,014190965X,2005-03-10,Penguin Books Ltd,656
Another Woman,['Penny Vincenzi'],ePUB,12.99,12.99,0755351479,2008-09-04,Headline,640
Titmuss Regained,['John Mortimer'],ePUB,15.99,15.99,0141959851,2010-11-04,Penguin Books Ltd,272
Thor & Loki,['Jeff Limke'],E-Book,0,0,1306291852,2006-01-01,Graphic Universe,52
Thin,['Grace Bowman'],ePUB,18.99,18.99,0141905573,2007-01-25,Penguin Books Ltd,304
Shadow of Night,['Deborah Harkness'],ePUB,13.99,13.99,0755384768,2012-07-10,Headline,605
Lover Mine,['J. R. Ward'],ePUB,11.99,11.99,0748117466,2010-05-06,"Little, Brown Book Group",544
Uprooted,['Naomi Novik'],E-Book,0,0,0804179042,2015-01-01,Random House Publishing Group,
Going Dutch,['Katie Fforde'],ePUB,15.99,15.99,1407011340,2010-12-07,Random House,432
Xero For Dummies,['Heather Smith'],ePUB,25.99,25.99,0730363996,2019-03-11,Wiley,472
1st to Die,['James Patterson'],ePUB,12.99,12.99,0755387058,2011-06-23,Headline,375
Night Frost,['R D Wingfield'],ePUB,15.99,15.99,1407068067,2010-04-27,Transworld,432
Notes to Self,['Emilie Pine'],ePUB,15.99,15.99,0241986230,2019-01-31,Penguin Books Ltd,192
Book not found for ISBN 9780241192061,,,,,,,,
The French Slow Cooker,"['Michele Scicolone', 'Alan Richardson']",ePUB,39.59,31.99,0547607954,2024-04-16,HarperCollins,240
Dear Evan Hansen,"['Val Emmich', 'Justin Paul', 'Steven Levenson', 'Benj Pasek']",ePUB,12.99,12.99,0241361869,2018-10-09,Penguin Random House Children's UK,368
Hope,['Lesley Pearse'],ePUB,15.99,15.99,0141900946,2007-01-11,Penguin Books Ltd,688
A Dedicated Man,['Peter Robinson'],ePUB,12.35,8.95,0330469282,2008-09-04,,0
A Short History of Europe,['Simon Jenkins'],ePUB,15.99,15.99,0241352533,2018-11-08,Penguin Books Ltd,400
Arnhem,['Antony Beevor'],ePUB,14.99,14.99,0141941294,2018-05-17,Penguin Books Ltd,496
There Is No Planet B,['Mike Berners-Lee'],PDF,18.95,18.95,1108337511,2019-02-28,Cambridge University Press,0
Paradise Lodge,['Nina Stibbe'],ePUB,15.99,15.99,0241974933,2016-06-02,Penguin Books Ltd,320
Strumpet City,['James Plunkett'],ePUB,8.99,8.99,071715565X,2013-02-22,Gill Books,560
Introducing Postmodernism,"['Richard Appignanesi', 'Chris Garratt']",E-Book,0,0,1281371971,2004-01-01,Icon Books Limited,191
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1","['Kisetsu Morita', 'Benio']",ePUB,17.6,16.99,0316448281,2018-04-24,Yen Press,
Mr Loverman,['Bernardine Evaristo'],ePUB,15.99,15.99,0241963915,2013-08-29,Penguin Books Ltd,288
Book not found for ISBN 9780307414250,,,,,,,,
The Bridge at Remagen,['Ken Hechler'],ePUB,10.27,9.99,0307514927,2009-03-25,Random House Publishing Group,
A Perfect Spy,['John le Carré'],ePUB,15.99,15.99,0241322499,2018-09-27,Penguin Books Ltd,688
Blood Song,['Anthony Ryan'],ePUB,12.99,12.99,1405525967,2013-04-11,"Little, Brown Book Group",592
The Eagle and the Wolves (Eagles of the Empire 4),['Simon Scarrow'],ePUB,12.99,12.99,0755350855,2008-09-04,Headline,448
Excession,['Iain M. Banks'],ePUB,12.99,12.99,0748110003,2008-09-04,"Little, Brown Book Group",464
Brothers York,['Thomas Penn'],ePUB,19.99,19.99,0718197291,2019-10-03,Penguin Books Ltd,640
The Secret Diary of Adrian Mole Aged 13 ¾,['Sue Townsend'],ePUB,9.99,9.99,0141962909,2009-11-05,Penguin Random House Children's UK,272
The Girl On Legare Street,['Karen White'],ePUB,10.27,9.99,1101155647,2009-11-03,Penguin Publishing Group,
Book not found for ISBN 9780297857440,,,,,,,,
How I Made $2 Million in the Stock Market,['Nicolas Darvas'],ePUB,21.99,20.99,0857191411,2020-03-27,Harriman House,198
Book not found for ISBN 9780307422316,,,,,,,,
The Summer Queen,['Elizabeth Chadwick'],ePUB,12.99,12.99,0748133836,2013-06-20,"Little, Brown Book Group",496
Hellion,['Karen Lynch'],ePUB,6.87,6.87,1370046782,2019-01-08,Karen Lynch,
You Can't Hide (The Chicago Series Book 4),['Karen Rose'],Paperback,26.25,26.25,0755384830,2015-07-02,Headline Publishing Group,448
The Winner,['David Baldacci'],ePUB,11.5,8.5,0330527983,2011-05-16,,592
Our Man in Charleston,['Christopher Dickey'],ePUB,23.99,19.99,0307887294,2015-07-21,Crown,
Book not found for ISBN 9780307351487,,,,,,,,
Postmortem,['Patricia Cornwell'],ePUB,12.99,12.99,0748109501,2008-09-04,"Little, Brown Book Group",416
Book not found for ISBN 9780307388629,,,,,,,,
Book not found for ISBN 9780307483690,,,,,,,,
