Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Cibola Burn,['James S. A. Corey'],ePUB,11.99,11.99,0356504182,2014-06-05,"Little, Brown Book Group",592
The Gathering Dark,['James Oswald'],ePUB,14.99,14.99,1405925329,2018-01-25,Penguin Books Ltd,448
Whispers Under Ground,['Ben Aaronovitch'],ePUB,12.99,12.99,0575097671,2012-06-21,Orion,384
Blue Smoke,['Nora Roberts'],ePUB,12.99,12.99,0748110828,2008-11-06,"Little, Brown Book Group",448
Hope(less),['Melissa Haag'],ePUB,0,0,0988852314,2015-06-17,Melissa Haag,
The Silkworm,['Robert Galbraith'],ePUB,12.99,12.99,1405514973,2014-06-19,"Little, Brown Book Group",464
Book not found for ISBN 9780230760967,,,,,,,,
"Oaths (Dragon Blood, Book 8)",['Lindsay Buroker'],ePUB,6.87,6.87,137039375X,2018-04-24,Lindsay Buroker,
Legend,['David Gemmell'],ePUB,11.99,11.99,1405511982,2011-12-01,"Little, Brown Book Group",432
The Cut Out Girl,['Bart van Es'],ePUB,15.99,15.99,0241978718,2018-08-02,Penguin Books Ltd,256
My Family and Other Animals,['Gerald Durrell'],ePUB,14.99,14.99,0241982413,2017-04-20,Penguin Books Ltd,320
Last Stories,['William Trevor'],ePUB,15.99,15.99,0241337798,2018-05-24,Penguin Books Ltd,240
Aprons and Silver Spoons,['Mollie Moran'],ePUB,14.99,14.99,0718197186,2013-03-14,Penguin Books Ltd,320
Moonlight and Ashes,['Rosie Goodwin'],ePUB,12.99,12.99,0755382641,2010-12-23,Headline,366
The Glossy Years,['Nicholas Coleridge'],ePUB,15.99,15.99,0241983525,2019-09-26,Penguin Books Ltd,400
Baking,['Dorie Greenspan'],ePUB,9.99,9.99,0547348061,2013-07-23,HarperCollins,
Manhattan Transfer,"['John Dos Passos', 'Jay McInerney']",ePUB,15.99,15.99,0141910119,2000-08-31,Penguin Books Ltd,368
Defending Your Marriage - The Reality of Spiritual Battle,"['Tim Muehlhoff', 'Clinton E. Arnold']",Paperback,31.64,27.5,083084550X,2018-11-13,InterVarsity Press,176
In The Dark,['Cara Hunter'],ePUB,15.99,15.99,0241283221,2018-07-12,Penguin Books Ltd,480
Echo Burning,['Lee Child'],ePUB,16.99,16.99,1407070266,2008-09-22,Transworld,576
Lazybones,['Mark Billingham'],ePUB,12.99,12.99,0748109439,2008-09-04,"Little, Brown Book Group",448
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),['Philippa Perry'],ePUB,16.99,16.99,0241251001,2019-03-07,Penguin Books Ltd,288
Whiteout,['Ken Follett'],ePUB,13.95,10.4,0330467891,2008-09-04,,0
The Last Command,['Timothy Zahn'],ePUB,13.46,11.1,0307796205,2011-06-28,Random House Worlds,
The Other Wife,['Michael Robotham'],ePUB,11.99,11.99,0751562831,2018-06-26,"Little, Brown Book Group",400
Ballet Shoes,['Noel Streatfeild'],ePUB,9.99,9.99,0141938374,2006-08-31,Penguin Random House Children's UK,240
The Lean Startup,['Eric Ries'],ePUB,18.99,18.99,0670921629,2011-10-06,Penguin Books Ltd,336
British Battles of the Napoleonic Wars 1793-1806,"['Martin Mace', 'John Grehan']",E-Book,0,0,132200692X,2013-01-01,Pen and Sword Military,234
The Nightingales are Drunk,['Hafez'],ePUB,4.99,4.99,0141980273,2015-02-26,Penguin Books Ltd,96
End Games,['Michael Dibdin'],ePUB,13.19,11.99,0571246044,2008-09-04,Faber & Faber,480
The Singles Game,['Lauren Weisberger'],Paperback,22.99,19.75,0007569246,2016-12-19,HarperCollins Publishers,432
Defending the Guilty,['Alex McBride'],ePUB,15.99,15.99,0141951400,2010-04-01,Penguin Books Ltd,288
A Handful of Dust,['Evelyn Waugh'],ePUB,15.99,15.99,0141886374,2012-05-31,Penguin Books Ltd,288
Wiggly the Worm,['Arnie Lightning'],ePUB,1.42,1.42,1311502459,2015-06-03,Hey Sup Bye Publishing,
Stormbird,['Conn Iggulden'],ePUB,15.99,15.99,0718196333,2013-10-10,Penguin Books Ltd,512
Reasons to be Cheerful,['Nina Stibbe'],ePUB,15.99,15.99,0241974992,2019-03-28,Penguin Books Ltd,320
AI Superpowers,['Kai-Fu Lee'],Hardcover,46.25,46.25,132854639X,2018-09-25,HarperCollins Publishers,272
Red Sniper on the Eastern Front,['Joseph Pilyushin'],E-Book,0,0,1283589230,2010-03-01,PEN & SWORD BOOKS,296
The Introvert Advantage,['Marti Olsen Laney Psy.D.'],ePUB,23.99,23.99,0761148353,2002-02-01,Workman Publishing Company,336
Liberty Bar,"['Georges Simenon', 'David Watson']",ePUB,15.99,15.99,0141979518,2015-03-05,Penguin Books Ltd,112
The Secret Diaries of Miss Anne Lister - Vol.2,"['Anne Lister', 'Helena Whitbread']",ePUB,9.99,9.99,034900689X,2015-02-24,"Little, Brown Book Group",224
Cannery Row,"['Susan Shillinglaw', 'John Steinbeck']",ePUB,15.99,15.99,0141923482,2000-09-07,Penguin Books Ltd,176
Villages,['John Updike'],ePUB,15.99,15.99,0141923083,2006-02-23,Penguin Books Ltd,336
Disobedience,['Naomi Alderman'],ePUB,15.99,15.99,0141906073,2007-04-05,Penguin Books Ltd,288
Gilead,['Marilynne Robinson'],ePUB,11.99,11.99,0748113509,2009-05-07,"Little, Brown Book Group",288
I Am Legend,['Richard Matheson'],ePUB,9.99,9.99,0575119578,2011-09-01,Orion,176
The Missing,['Chris Mooney'],ePUB,15.99,15.99,0141902256,2007-05-03,Penguin Books Ltd,416
Red Sky at Sunrise,['Laurie Lee'],ePUB,18.99,18.99,0141927372,2000-01-01,Penguin Books Ltd,544
Flesh Wounds,['Chris Brookmyre'],ePUB,12.99,12.99,140551597X,2013-08-01,"Little, Brown Book Group",416
How to Win Friends and Influence People,['Dale Carnegie'],ePUB,14.99,14.99,1409005216,2010-09-30,Ebury Publishing,304
Shepherds Abiding,['Jan Karon'],ePUB,20.57,16.99,1101200405,2004-09-28,Penguin Publishing Group,304
The Useful Book,"['David Bowers', 'Sharon Bowers']",ePUB,23.99,23.99,0761187146,2016-06-14,Workman Publishing Company,448
James and the Giant Peach,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141929871,2007-09-06,Penguin Random House Children's UK,160
Oryx And Crake,['Margaret Atwood'],ePUB,12.99,12.99,0748113355,2009-09-03,"Little, Brown Book Group",448
The City & The City,['China Miéville'],ePUB,13.95,10.5,0330520105,2010-01-01,,500
Where the Crawdads Sing,['Delia Owens'],Hardcover,50.75,50.75,0735219095,2018-08-14,G P PUTNAM SONS               ,384
Heaven,['Randy Alcorn'],Hardcover,50.99,29.8,0842379428,2004-10-01,Tyndale House Publishers,560
Narrow Is the Way,['Faith Martin'],E-Book,0,0,1306020980,2006-01-01,Robert Hale & Company,224
The Myth of Sisyphus,"['Albert Camus', ""Justin O'Brien"", 'James Wood']",ePUB,15.99,15.99,0141914173,2013-10-31,Penguin Books Ltd,208
American Gods,['Neil Gaiman'],ePUB,12.99,12.99,0755379926,2011-11-10,Headline,521
The Chicken Health Handbook,['Gail Damerow'],Paperback,45,43.25,161212013X,2015-12-29,Workman,496
Trust Me,['Lesley Pearse'],ePUB,15.99,15.99,0141910682,2006-06-29,Penguin Books Ltd,720
The Ideal Team Player,['Patrick M. Lencioni'],ePUB,29.99,29.99,1119209617,2016-05-13,Wiley,240
Book not found for ISBN 9780307414298,,,,,,,,
Address Unknown,['Kathrine Kressmann Taylor'],ePUB,14.29,5.35,0285640453,2011-04-01,Profile,64
Where the Bodies Are Buried,['Christopher Brookmyre'],ePUB,16.5,14.5,0802194443,2012-07-03,Grove Atlantic,304
Broken Homes,['Ben Aaronovitch'],ePUB,12.99,12.99,0575132493,2013-07-25,Orion,320
Chernobyl,['Serhii Plokhy'],ePUB,15.99,15.99,0241349036,2018-05-15,Penguin Books Ltd,256
The Ladykiller,['Martina Cole'],ePUB,11.99,11.99,0755350715,2009-12-10,Headline,300
Vince and Joy,['Lisa Jewell'],ePUB,15.99,15.99,0141040033,2005-08-04,Penguin Books Ltd,512
Marius' Mules XII,['S.J.A. Turney'],ePUB,7.56,7.56,0463655362,2019-07-04,S.J.A. Turney,
5 People Who Died During Sex,['Karl Shaw'],ePUB,8.55,7.99,0767922964,2007-02-13,Crown,
The Secret,['Julie Garwood'],ePUB,15.42,12.99,110153351X,2011-07-05,Penguin Publishing Group,1
The Burning,['Jane Casey'],ePUB,12.99,12.99,1409005011,2010-11-11,Ebury Publishing,496
Bash Command Line Pro Tips,['Jason Cannon'],ePUB,0,0,1310518998,2015-05-16,Jason Cannon,
Crossfire,['Malorie Blackman'],ePUB,14.99,14.99,0241388457,2019-08-08,Penguin Random House Children's UK,496
Robin Hood,['Paul D Storrie'],E-Book,0,0,1281282308,2007-01-01,Lerner Publishing Group,48
Threat Vector,"['Tom Clancy', 'Mark Greaney']",ePUB,15.99,15.99,0718198115,2012-12-06,Penguin Books Ltd,720
The Black Prism,['Brent Weeks'],ePUB,11.99,11.99,0748116974,2010-08-26,"Little, Brown Book Group",480
Death in the Spotlight,['Robin Stevens'],ePUB,9.99,9.99,0141373830,2018-10-04,Penguin Random House Children's UK,352
Out of Africa,['Isak Dinesen'],ePUB,14.99,14.99,0141913878,2001-09-27,Penguin Books Ltd,336
The Private Lives of the Tudors,['Sergei Lebedev'],ePUB,27.49,21.99,0802189806,2020-02-26,Grove Atlantic,
Rebecca,"['Daphne Du Maurier', 'Sally Beauman']",ePUB,11.99,11.99,1405513462,2012-02-09,"Little, Brown Book Group",448
Book not found for ISBN 9780241198155,,,,,,,,
The Hairy Dieters,['Hairy Bikers'],ePUB,19.99,19.99,0297609327,2016-05-19,Orion,192
Gooney Bird Greene,"['Lois Lowry', 'Middy Thomas']",ePUB,14.99,14.99,054748898X,2010-04-01,HarperCollins,96
War And Peace,"['Leo Tolstoy', 'Anthony Briggs', 'Orlando Figes']",ePUB,14.99,14.99,0141959800,2009-02-26,Penguin Books Ltd,1472
Inversions,['Iain M. Banks'],ePUB,12.99,12.99,074811002X,2008-09-04,"Little, Brown Book Group",416
The Return,['Victoria Hislop'],ePUB,12.99,12.99,0755352459,2008-02-10,Headline,300
Proven Guilty,['Jim Butcher'],ePUB,12.99,12.99,0748116583,2010-03-04,"Little, Brown Book Group",528
The Penguin Book of the Contemporary British Short Story,['Philip Hensher'],ePUB,15.99,15.99,0241307163,2018-10-04,Penguin Books Ltd,432
Thornbear,['Michael G. Manning'],ePUB,5,5,1311220518,2015-05-09,Michael G. Manning,
Steal Like an Artist,['Austin Kleon'],ePUB,19.99,19.99,0761171258,2012-02-28,Workman Publishing Company,160
Falling For You,['Leeanna Morgan'],ePUB,9.25,9.25,0994135556,2018-10-16,Rogan Press,
Business Model Generation,['Alexander Osterwalder'],ePUB,45.09,45.09,1118656407,2013-02-01,Wiley Professional Development (P&T),288
One Of Us Is Lying,['Karen M. McManus'],ePUB,12.99,12.99,0141375647,2017-06-01,Penguin Random House Children's UK,240
Tennessee Night (The 8th Jack Nightingale Novel),['Stephen Leather'],ePUB,8.12,8.12,0463273974,2018-07-03,Stephen Leather,
The Personal MBA,['Josh Kaufman'],ePUB,18.99,18.99,0141971096,2011-02-03,Penguin Books Ltd,464
Book not found for ISBN 9780230760516,,,,,,,,
How to Change Your Mind,['Michael Pollan'],ePUB,15.99,15.99,0141985143,2018-05-17,Penguin Books Ltd,400
Eragon: Book One,['Christopher Paolini'],ePUB,12.99,12.99,1407047205,2009-03-08,RHCB,528
Hooked,"['Nir Eyal', 'Ryan Hoover']",ePUB,36.75,36.75,0698190661,2014-11-04,,256
You're Not Safe,['Mary Burton'],ePUB,15.99,15.99,1405909757,2014-08-14,Penguin Books Ltd,432
Mind Over Medicine,[],ePUB,19.94,16.05,1401940005,2013-05-07,Hay House,
Orange Is the New Black,['Piper Kerman'],ePUB,11.99,11.99,0349139873,2013-07-11,"Little, Brown Book Group",352
"First Love, Last Love",['Judith Saxton'],Hardcover,0,0,0312087799,1993-03-01,,
The Invisible Bridge,['Julie Orringer'],ePUB,15.99,15.99,0241957141,2011-03-29,Penguin Books Ltd,624
Hothouse Flower,['Lucinda Riley'],ePUB,15.99,15.99,0141961392,2010-11-25,Penguin Books Ltd,592
In a Dry Season,['Peter Robinson'],ePUB,12.35,8.95,0330514695,2009-08-21,,0
Innocent Next Door,['Shelley Munro'],ePUB,5.99,5.99,0473330342,2018-10-15,Munro Press,
We are the Weather,['Jonathan Safran Foer'],ePUB,15.99,15.99,0241984920,2019-09-17,Penguin Books Ltd,352
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","['Kerry Patterson', 'Joseph Grenny', 'Ron McMillan', 'Al Switzler']",ePUB,26.41,21.99,0071772200,2011-12-13,McGraw Hill LLC,288
Past Reason Hated,['Peter Robinson'],ePUB,12.35,8.95,0330469401,2008-09-04,,0
The Art of War,"['Sun Tzu', 'Tom Butler-Bowdon']",ePUB,16.99,16.99,0857081020,2016-05-16,Wiley,220
A Mind For Numbers,['Barbara Oakley PhD'],ePUB,5.99,5.99,1101621613,2014-07-31,Penguin Publishing Group,272
Seven Steps from Snowdon to Everest,['Mark Horrell'],ePUB,7.99,7.99,0993413013,2020-02-24,Mountain Footsteps Press,
Freakonomics,"['Steven D. Levitt', 'Stephen J. Dubner']",ePUB,15.99,15.99,0141928735,2006-10-05,Penguin Books Ltd,336
2001,['Arthur C. Clarke'],ePUB,11.99,11.99,0748120785,2010-06-03,"Little, Brown Book Group",288
How To Be Right,"[""James O'Brien""]",ePUB,18.99,18.99,0753553112,2018-11-01,Ebury Publishing,240
The Challenging Heights,['Max Hennessy'],ePUB,8.79,7.99,0755128036,2015-10-01,House of Stratus,284
Blue Above the Chimneys,['Christine Marion Fraser'],ePUB,14.99,14.99,0141972513,2012-01-19,Penguin Books Ltd,256
Seven Principles for Making Marriage Work,"['John Phd Gottman', 'Nan Silver']",E-Book,0,0,1101902914,2015-01-01,Potter/Tenspeed/Harmony,
Book not found for ISBN 9780230767270,,,,,,,,
The Greek Myths,['Robert Graves'],ePUB,18.99,18.99,024198338X,2017-09-28,Penguin Books Ltd,784
Book not found for ISBN 9780307388131,,,,,,,,
Wicked Wings,['Keri Arthur'],ePUB,6.99,6.99,0648324699,2019-10-08,KA Publishing PTY LTD,
Girls of Paper and Fire,"['Natasha Ngan', 'James Patterson']",ePUB,18.99,18.99,031656138X,2018-10-23,"Little, Brown and Company",336
My Uncle Oswald,['Roald Dahl'],ePUB,15.99,15.99,0141941995,2002-03-28,Penguin Books Ltd,208
Stasi Vice,['Max Hertzberg'],ePUB,4.99,4.99,0993324789,2018-10-17,OV Press,
Guilt,"['Jussi Adler-Olsen', 'Martin Aitken']",ePUB,14.99,14.99,1405909846,2014-02-27,Penguin Books Ltd,464
Devil's Guard,['George R. Elford'],ePUB,14.66,11.99,0307483770,2008-12-18,Random House Publishing Group,
Dead Men's Bones,['James Oswald'],ePUB,14.99,14.99,1405917105,2014-07-03,Penguin Books Ltd,484
How Generations Remember,['Monika Palmberger'],ePUB,0,0,1137450630,2022-03-25,Palgrave Macmillan UK,
World War One,['Norman Stone'],ePUB,14.99,14.99,0141040955,2008-03-27,Penguin Books Ltd,240
The New Kid,['Maureen Straka'],ePUB,0,0,1370687133,2018-04-21,Maureen Straka,
Book not found for ISBN 9780307382092,,,,,,,,
Allen Carr's Easyweigh to Lose Weight,['Allen Carr'],ePUB,14.99,14.99,0141927410,2000-01-01,Penguin Books Ltd,224
Moab Is My Washpot,['Stephen Fry'],ePUB,15.99,15.99,1409007014,2011-02-22,Random House,448
Poseidon's Arrow,"['Clive Cussler', 'Dirk Cussler']",ePUB,15.99,15.99,1405909870,2012-11-20,Penguin Books Ltd,528
Book not found for ISBN 9780307267450,,,,,,,,
Moon Tiger,"['Penelope Lively', 'Anthony Thwaite']",ePUB,15.99,15.99,014190271X,2006-04-27,Penguin Books Ltd,224
The Murder of Patience Brooke,['J.C. Briggs'],ePUB,16.49,4.75,075095759X,2014-08-04,The History Press,128
Marie Antoinette,['Lady Antonia Fraser'],ePUB,17.99,17.99,0297857940,2010-06-24,Orion,640
The Evidence Against You,['Gillian McAllister'],ePUB,15.99,15.99,1405934662,2019-04-18,Penguin Books Ltd,400
On the Road,"['Jack Kerouac', 'Ann Charters']",ePUB,15.99,15.99,0141912561,2011-07-21,Penguin Books Ltd,320
Shadow Tyrants,"['Clive Cussler', 'Boyd Morrison']",ePUB,14.99,14.99,1405937114,2018-09-20,Penguin Books Ltd,480
The Book of Questions,['Gregory Stock'],ePUB,19.99,19.99,0761178686,2013-09-10,Workman Publishing Company,250
Ladder of Years,['Anne Tyler'],ePUB,15.99,15.99,1407016059,2010-02-23,Random House,336
The Somerset Tsunami,['Emma Carroll'],ePUB,10.99,9.99,057133282X,2019-10-01,Faber & Faber,304
Cover Your Eyes,['Mary Burton'],ePUB,15.99,15.99,140591890X,2014-11-06,Penguin Books Ltd,307
The Girl on the Cliff,['Lucinda Riley'],ePUB,15.99,15.99,0141970618,2011-10-27,Penguin Books Ltd,576
Curly Girl,"['Lorraine Massey', 'Michele Bender', 'Deborah Chiel']",ePUB,25.25,20.23,0761164022,2011-01-13,Workman Publishing Company,
Animal Farm And 1984,['George Orwell'],ePUB,15.99,15.99,0547504187,2003-06-01,HarperCollins,
Book not found for ISBN 9780230761353,,,,,,,,
Leviathan Wakes,['James S. A. Corey'],ePUB,4.99,4.99,0748122966,2011-06-02,"Little, Brown Book Group",448
Did You Miss Me?,['Karen Rose'],ePUB,11.99,11.99,0755374010,2012-11-08,Headline,469
Book not found for ISBN 9780307463654,,,,,,,,
Book not found for ISBN 9780141347707,,,,,,,,
The King's Curse,['Philippa Gregory'],ePUB,13.99,13.99,0857207601,2014-08-14,Simon & Schuster UK,608
Happiness by Design,['Paul Dolan'],ePUB,15.99,15.99,0241003113,2014-08-28,Penguin Books Ltd,208
Where Do Diggers Sleep at Night?,"['Brianna Caplan Sayres', 'Christian Slade']",ePUB,11.99,10.99,0375980989,2012-05-22,Random House Children's Books,
Journey to the Center of the Earth,['Jules Verne'],ePUB,1.45,1.45,048611161X,2012-02-02,Dover Publications,160
Best Served Cold,['Joe Abercrombie'],ePUB,12.99,12.99,0575088168,2009-06-01,Orion,560
Crossed,['Ally Condie'],ePUB,12.99,12.99,0141969989,2011-11-24,Penguin Random House Children's UK,384
Journey to the River Sea - 10th Anniversary Edition,['Eva Ibbotson'],ePUB,10.5,7.9,0330477447,2008-09-04,,320
The Shock Doctrine,['Naomi Klein'],ePUB,18.99,18.99,0141980869,2014-10-02,Penguin Books Ltd,576
The 4 x 4 Diet,"['Erin Oprea', 'Carrie Underwood']",ePUB,18.85,15.99,1101903090,2016-02-02,Harmony/Rodale,
Stalin,['Simon Sebag Montefiore'],ePUB,13.99,13.99,0297863851,2010-06-03,Orion,820
The Skincare Bible,['Dr Anjali Mahto'],ePUB,18.99,18.99,0241309115,2018-04-05,Penguin Books Ltd,256
Tribe,['Sebastian Junger'],Paperback,19.99,19.99,0008168180,2017-06-02,HarperCollins Publishers,192
The Book of Basketball,"['Bill Simmons', 'Malcolm Gladwell']",ePUB,22.29,17.99,0345513118,2009-10-27,Random House Publishing Group,
Eagle in the Sky,['Wilbur Smith'],ePUB,13.95,10.5,0330466291,2008-09-04,,0
David and Goliath,['Malcolm Gladwell'],ePUB,15.99,15.99,0241959608,2013-10-03,Penguin Books Ltd,304
H.M.S. Cockerel,['Dewey Lambdin'],E-Book,0,0,1306064279,2009-01-01,McBooks Press,451
Innocent Graves,['Peter Robinson'],ePUB,12.35,8.95,0330514555,2009-08-21,,0
Consider Phlebas,['Iain M. Banks'],ePUB,12.99,12.99,0748109994,2008-09-04,"Little, Brown Book Group",480
Sea of Greed,"['Clive Cussler', 'Graham Brown']",ePUB,15.99,15.99,1405937149,2018-11-06,Penguin Books Ltd,480
Kill For Me,['Tom Wood'],ePUB,11.99,11.99,0751565717,2018-07-26,"Little, Brown Book Group",480
New Moon,['Stephenie Meyer'],ePUB,11.99,11.99,0748112529,2009-02-26,"Little, Brown Book Group",608
The Vanishing Act of Esme Lennox,"[""Maggie O'Farrell""]",ePUB,11.99,11.99,0755372263,2009-11-12,Headline,145
The Night Watch,['Sarah Waters'],Paperback,24.99,21.75,1844082415,2006-06-01,Little Brown,506
The Island,"['Ragnar Jónasson', 'Victoria Cribb']",ePUB,15.99,15.99,1405930837,2019-04-04,Penguin Books Ltd,350
The Stranger,['Albert Camus'],Paperback,24.99,21.75,0679720200,2014-12-15,RANDOM HOUSE US,144
Entwined with You,['Sylvia Day'],ePUB,15.99,15.99,1405910283,2013-06-04,Penguin Books Ltd,400
Hacking Growth,"['Morgan Brown', 'Sean Ellis']",ePUB,19.99,19.99,0753545381,2017-04-27,Ebury Publishing,320
The Pursuit of Glory,['Tim Blanning'],ePUB,19.99,19.99,0141912758,2008-02-28,Penguin Books Ltd,736
Book not found for ISBN 9780307272300,,,,,,,,
Sacred Woman,['Queen Afua'],ePUB,23.99,19.99,0307559513,2012-06-20,Random House Publishing Group,
Natural Born Heroes,['Christopher McDougall'],E-Book,0,0,0307962288,2015-01-01,Knopf Doubleday Publishing Group,
Lifeless,['Mark Billingham'],ePUB,12.99,12.99,0748109447,2008-09-04,"Little, Brown Book Group",480
The Places In Between,['Rory Stewart'],ePUB,15.8,11.5,0330508342,2009-09-18,,0
Daring Greatly,['Brené Brown'],ePUB,16.99,16.99,0670923532,2013-01-17,Penguin Books Ltd,304
Tuesday's Gone,['Nicci French'],ePUB,15.99,15.99,0141964014,2012-07-19,Penguin Books Ltd,464
The Day Before Happiness,"['Erri De Luca', 'Jill Foulston']",ePUB,15.99,15.99,0141394145,2016-07-07,Penguin Books Ltd,208
The Lion At Sea,['Max Hennessy'],PDF,13.4,13.4,075514757X,2012-05-19,,368
Open and Shut,['David Rosenfelt'],ePUB,13.99,13.99,0446551074,2008-11-15,Grand Central Publishing,300
Port Mortuary,['Patricia Cornwell'],ePUB,11.99,11.99,0748117091,2010-10-28,"Little, Brown Book Group",512
A Spy Among Friends,['Ben Macintyre'],ePUB,18.39,15.99,1408851741,2014-03-03,Bloomsbury Publishing,368
The Lonely Londoners,"['Sam Selvon', 'Nasta Susheila']",ePUB,15.99,15.99,0241189462,2014-09-25,Penguin Books Ltd,160
The State We're In,['Adele Parks'],ePUB,12.99,12.99,0755371402,2013-07-04,Headline,354
The Defence of the Realm,['Christopher Andrew'],ePUB,19.99,19.99,0718197445,2012-04-26,Penguin Books Ltd,1072
Dark Curse,['Kim Richardson'],ePUB,5.5,5.5,0463676769,2019-04-24,Kim Richardson,
This Is Not Propaganda,['Peter Pomerantsev'],ePUB,16.49,14.99,0571338658,2019-07-30,Faber & Faber,300
The Bookseller Of Kabul,['Åsne Seierstad'],ePUB,11.99,11.99,0748108521,2008-09-04,"Little, Brown Book Group",288
The Shroud Maker,['Kate Ellis'],ePUB,12.99,12.99,1405515090,2014-01-02,"Little, Brown Book Group",384
The Eye of the World,['Robert Jordan'],ePUB,16.99,16.99,074811534X,2009-10-27,"Little, Brown Book Group",832
Towers of Midnight (US EDITION),"['Robert Jordan', 'Brandon Sanderson']",Hardcover,75.95,75.95,0765325942,2010-11-02,TOR BOOKS                     ,864
Michelle Obama,['Peter Slevin'],E-Book,0,0,0307958833,2015-01-01,Knopf Doubleday Publishing Group,391
Jingo,['Terry Pratchett'],ePUB,15.99,15.99,1407035088,2009-12-01,Transworld,464
Tending Roses,['Lisa Wingate'],ePUB,14.66,11.99,1101575913,2003-02-04,Penguin Publishing Group,336
Against All Enemies,"['Tom Clancy', 'Peter Telep']",ePUB,15.99,15.99,0241960193,2011-08-11,Penguin Books Ltd,768
The Lions of Lucerne,['Brad Thor'],ePUB,9.99,9.99,0743483294,2003-04-25,Atria Books,432
The Weight of Ink,['Rachel Kadish'],ePUB,38.49,37.75,0544866673,2017-06-06,,574
The Child,['Fiona Barton'],ePUB,15.99,15.99,1473526930,2017-06-29,Transworld,448
Predator,['Patricia Cornwell'],Hardcover,49.99,44.99,0316724211,2005-10-01,"Little, Brown & Company",384
The Cardinal of the Kremlin,['Tom Clancy'],Paperback,28.9,28.9,000617454X,1989-12-01,HarperCollins Publishers,624
The Next Always,['Nora Roberts'],ePUB,11.99,11.99,0748125825,2011-11-01,"Little, Brown Book Group",352
The Floating Outfit 19,['J.T. Edson'],ePUB,2.59,2.59,1370752326,2017-12-31,Piccadilly,
Bared to You,['Sylvia Day'],ePUB,15.99,15.99,1405910240,2012-05-28,Penguin Books Ltd,368
Maura's Game,['Martina Cole'],ePUB,11.99,11.99,0755350693,2008-09-04,Headline,640
Dangerous Lady,['Martina Cole'],ePUB,11.99,11.99,0755350707,2008-09-04,Headline,576
The Old Ways,['Robert Macfarlane'],ePUB,15.99,15.99,0241145538,2012-06-07,Penguin Books Ltd,448
Burma Victory,['David Rooney'],E-Book,0,0,1299598196,2013-01-01,Osprey Publishing (UK),
Alchemy,['Rory Sutherland'],ePUB,18.99,18.99,0753551373,2019-05-07,Ebury Publishing,384
The Mage-Fire War,['L. E. Modesitt Jr.'],ePUB,16.2,12.99,1250207819,2019-08-13,Tor Publishing Group,
Defending Your Marriage - The Reality of Spiritual Battle,"['Tim Muehlhoff', 'Clinton E. Arnold']",Paperback,31.64,27.5,083084550X,2018-11-13,InterVarsity Press,176
The Colour Of Magic,['Terry Pratchett'],ePUB,15.99,15.99,1407034375,2008-12-26,Transworld,288
Fooled by Randomness,['Nassim Nicholas Taleb'],ePUB,15.99,15.99,0141930233,2007-05-03,Penguin Books Ltd,368
"I, Claudius","['Robert Graves', 'Barry Unsworth']",ePUB,15.99,15.99,0141911743,2006-08-03,Penguin Books Ltd,416
Becoming a Witch (Book 1),['Mark Mulle'],ePUB,0,0,1370928467,2017-01-08,Mark Mulle,
Sword of Destiny,['Andrzej Sapkowski'],E-Book,0,0,0316389714,2015-05-19,Orbit,352
Beartown,['Fredrik Backman'],ePUB,15.99,15.99,1405937734,2018-05-03,Penguin Books Ltd,432
A Tale of Two Cities,['Charles Dickens'],ePUB,2.75,2.75,1105795985,2013-03-13,,0
The Player Of Games,['Iain M. Banks'],ePUB,12.99,12.99,0748110062,2008-09-04,"Little, Brown Book Group",320
A Pocketful of Holes and Dreams,['Jeff Pearce'],ePUB,14.99,14.99,0141965932,2011-01-20,Penguin Books Ltd,288
Zero Degrees of Empathy,['Simon Baron-Cohen'],ePUB,15.99,15.99,0718193342,2011-12-21,Penguin Books Ltd,208
A Course in Miracles,"['Helen Schucman', 'William T. Thetford']",ePUB,8.79,7.99,0976420082,2009-05-15,Course in Miracles Society,680
The Summons,['John Grisham'],ePUB,15.99,15.99,1407059483,2010-04-21,Random House,400
The Road to Wigan Pier,"['George Orwell', 'Richard Hoggart']",ePUB,15.99,15.99,0141913886,2001-04-26,Penguin Books Ltd,240
Book not found for ISBN 9780141347820,,,,,,,,
Queen of Fire,['Anthony Ryan'],ePUB,12.99,12.99,1405525975,2015-07-02,"Little, Brown Book Group",656
Book not found for ISBN 9780230758100,,,,,,,,
Talking to Strangers,['Malcolm Gladwell'],ePUB,15.99,15.99,0241351588,2019-09-10,Penguin Books Ltd,320
Adele,"['Leïla Slimani', 'Sam Taylor']",ePUB,13.19,11.99,0571331971,2019-01-15,Faber & Faber,224
The Faithless,['Martina Cole'],ePUB,11.99,11.99,0755375564,2011-10-18,Headline,442
Reality Is Not What It Seems,"['Carlo Rovelli', 'Simon Carnell', 'Erica Segre']",ePUB,15.99,15.99,0241257972,2016-10-06,Penguin Books Ltd,256
The Complete English Poems,['John Donne'],ePUB,14.99,14.99,0141916036,2004-06-24,Penguin Books Ltd,688
